bathrooms,land_size_m2,building_age,electricity_power,district,location,description,city,certificate,url,bedrooms,property_condition,price_in_rp,building_size_m2,title,carports,floor_count
2,180 m²,,Lainnya,Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung","*Disewakan rumah di KBP* 
 *Cluster Kamandaka* 

Luas Tanah 180
Luas Bangunan +-150
Kamar Tidur 3 +1 
Kamar Mandi 2 + 1
Listrik 2200
Air artesis + filter
Kitchen set
Ac 3
Waterheater 2
Carport 1 mobil


Harga 90jt /thn
Deposit 10jt
PBB oleh penyewa

 jes",Bandung,SHM,https://www.rumah123.com/properti/bandung/hor39240200/,3,Bagus,Rp 90 Juta/tahun,150 m²,Sewa Bagus Rumah Sudah Ada Kircheset Ac Di Kota Baru Parahyangan,1,2
5,700 m²,,Lainnya,Kemang,"Kemang, Jakarta Selatan",close to Pejaten and Kuningan area,Jakarta Selatan,SHM,https://www.rumah123.com/properti/jakarta-selatan/hor39048747/,4,Bagus,Rp 550 Juta/tahun,400 m²,Light homey house at quiet area,2,1
3,590 m²,,Lainnya,Cipete,"Cipete, Jakarta Selatan","*For Rent Cipete, Townhouse dekat sekolah Prancis*

Available For Rent:

Cipete town house dekat sekolah perancis, 
luas tanah 590 
luas bangunan 400, 
listrik 16.500 watt 
4KT 
3KM 
garasi 2 mobil 
2 KT & 1 KM pembantu, 
swimming pool 


harga 550 Jt/tahun nego",Jakarta Selatan,SHM,https://www.rumah123.com/properti/jakarta-selatan/hor18720525/,4,Bagus,Rp 550 Juta per tahun,400 m²,Disewakan Townhouse Bagus Area Cipete 2 Lantai Ada Kolam,,2
5,400 m²,,Lainnya,Dago,"Dago, Bandung","Di Sewakan Rumah Bagus ,Asri
di Dago Pskar Permai 

SHM
LT 400 M2, LB 500 M2, Bangunan 3 LT
Kmr Tidur 5 + 1, Kmr Mandi 4 + 1
Rusng Tsmu , Ruang Keluarga,
Dapur Furnish , Kitchen Bar
Listrik 5500 watt, Air Sible, 
Carpot 2 mobil , View Hutsn
Listing Dewi T, One Realty

Harga 180 jt ,Per Tahun 
Lily ,S , One Realty
085864879xxx",Bandung,SHM,https://www.rumah123.com/properti/bandung/hor39176484/,6,Bagus,Rp 180 Juta/tahun,500 m²,"Rmh Bagus, Asri , Luas Dago Permai Bandung Utara",2,3
3,448 m²,,7700 Watt,Lippo Cikarang,"Lippo Cikarang, Cikarang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Lippo Cikarang, Cikarang.

Rumah ini menawarkan lokasi yang strategis serta memiliki nilai tepat yang siap untuk segera Anda miliki, utamanya bagi Anda yang mencari hunian di lokasi yang dekat dengan fasilitas umum.

Kondisi properti ini bagus dan memiliki desain modern yang menambah daya tarik dan estetika properti ini. Rumah ini berada di area yang mudah dijangkau.

Detail Properti ini adalah:

  - Kamar Tidur: 6
  - Kamar Mandi: 4
  - Sertifikat: SHM - Sertifikat Hak Milik
  - Kondisi Perabotan: Furnished

Tidak hanya itu, namun properti ini juga memiliki keunggulan sebagai berikut:

  - Full Furnished.
  - Bisa KPR.
  - Siap Huni.
  - Dekat Sekolah Internasional.
  - Dekat Pusat Perbelanjaan.

Lokasi Strategis terletak di Lippo Cikarang, properti ini memudahkan akses Anda ke fasilitas-fasilitas utama dan unggulan.

Harga yang sangat kompetitif yaitu, Rp. 0, rumah ini siap menjadi milik Anda!

Nikmati segala kemudahan dan berbagai keunggulan menarik saat properti asri ini milik Anda.",Cikarang,SHM,https://www.rumah123.com/properti/cikarang/hor19373085/,5,Bagus,Rp 225 Juta/tahun,250 m²,Rumah D'Oakwood Residence Asri Furnished Siap Huni Lippo Cikarang,4,2
4,700 m²,,22000 Watt,Pondok Indah,"Pondok Indah, Jakarta Selatan","For rent area Sekolah Duta, Pondok indah , South Jkt
4 bedrooms house with strategic location. 
Excellent interor and exterior
Walking distance to JIS 
One gated with maximum security 
Nice, comfort, quite and green area .
Spec
Land : 700 m2
2.5floors Building
Bed room : 4
Bath room 4
Maid bed room : 3/1
Electricity : 23.000 watt
Swimming pool,garden 
2 car garage and
4 car carport

Facility:
Swimming pool
Water heater
Air condition 
Refrigerator
Stove
Oven
Unfurnish condition

RENTAL FEE USD 6000/month
Min rental 2years",Jakarta Selatan,SHM,https://www.rumah123.com/properti/jakarta-selatan/hor16805363/,4,Bagus,Rp 93 Juta per bulan,1000 m²,Beautifull Dan Calm House At Sekolah Duta Pondok Indah,2,3
2,300 m²,,Lainnya,Jeruk Purut,"Jeruk Purut, Jakarta Selatan","300m2 
3br 2bath 
1 powder room
2 maid room 
Carport 1 mbl
Garasi 2 mbl
Swimming pool 
Price Rp 450.000.xxx / year 
minimum lease 1 year

H-1 viewing",Jakarta Selatan,Lainnya,https://www.rumah123.com/properti/jakarta-selatan/hor39347201/,3,Bagus,Rp 450 Juta/tahun,221 m²,For Rent House 3 Bedroom,2,2
3,220 m²,,4400 Watt,Kemang,"Kemang, Jakarta Selatan","Disewakan Rumah Mewah di Jeruk Perut, Kemang – Jakarta Selatan
Cluster Eksklusif | 4+1 Kamar Tidur | Semi Furnished | Siap Huni

Kesempatan langka untuk Anda yang mencari hunian premium di kawasan strategis dan prestisius Kemang, Jakarta Selatan. Terletak di area Jeruk Perut, rumah dua lantai ini berada dalam cluster eksklusif yang tenang, aman, dan nyaman, sangat ideal untuk keluarga modern yang menginginkan kualitas hidup terbaik.

Spesifikasi Properti:

Luas Tanah: 220 m²

Luas Bangunan: 200 m²

Jumlah Lantai: 2

Kamar Tidur: 4 + 1 (kamar ART)

Kamar Mandi: 3

Garasi: Muat untuk 2 mobil

Arah Hadap: Selatan

Listrik: 4.400 Watt


Fitur Unggulan:

Dilengkapi AC di setiap ruangan, menciptakan kenyamanan maksimal sepanjang hari

Tersedia water heater untuk kenyamanan mandi

Semi Furnished: Anda cukup membawa koper, interior modern siap pakai

Terletak di lingkungan asri dan elite, dengan keamanan 24 jam

Akses jalan lebar, area bebas banjir


Lokasi Strategis:

Hanya beberapa menit ke pusat kuliner dan hiburan Kemang Raya

Dekat dengan sekolah internasional, pusat perbelanjaan, dan rumah sakit ternama

Akses mudah ke TB Simatupang dan tol JORR



---",Jakarta Selatan,SHM,https://www.rumah123.com/properti/jakarta-selatan/hor39377806/,4,Bagus,"Rp 22,1 Juta/bulan",200 m²,"Disewakan Rumah Mewah 4+1br Di Kemang, Cluster Eksklusif.",,2
5,110 m²,,Lainnya,Pengadegan,"Pengadegan, Jakarta Selatan","Disewakan rumah di Pengadegan, bisa untuk kantor

Lt 110m, lb 150m
2lantai
Kt 4+1, km 4+1
3.500watt
Carport 2
Lebar jalan depan rumah 2mobil
ShM
125jt/thn
Deposit 5jt",Jakarta Selatan,SHM,https://www.rumah123.com/properti/jakarta-selatan/hor39393360/,5,Bagus,Rp 125 Juta/tahun,150 m²,"Disewakan Rumah Di Pengadegan, Bisa Untuk Kantor",2,2
4,1167 m²,,6600 Watt,Kebayoran Lama,"Kebayoran Lama, Jakarta Selatan","*DISEWAKAN RUMAH*
Siap Huni ... 
*Tanah Kusir, Keb Lama* *Jakarta Selatan.*

LT : 1167 m2
LB : 380 m2
1 Lantai - Furnished/UF
KT : 4 + KM : 4
Ada  Gudang
KT Maid: 2+ KM Maid : 1
Garasi : 4 + 5
Halaman Luas
Listrik : 6,600 W
Boleh untuk Kantor
Lokasi Strategis
Harga Sewa Ro.400jt/tahun
(minimal 2tahun sewa)

Hubungi 
0812 1342 8xxx",Jakarta Selatan,SHM,https://www.rumah123.com/properti/jakarta-selatan/hor39396809/,4,Bagus,Rp 400 Juta/tahun,400 m²,Halaman Luas Siap Huni Dekat Ke Gandaria City Dan Pondok Indah Bisa Buat Kantor,9,1
2,90 m²,,2200 Watt,Jakarta Garden City,"Jakarta Garden City, Jakarta Timur","Disewakan !
Rumah di Cluster Yarra Type 2+1 KT

Kamar tidur : 2 +1 
Kamar mandi : 2 +1
Carpot 2
Air PAM 
Sudah ada 2 AC . 

Fasilitas perumahan lengkap . 

Harga Sewa : 48Juta / Nego

CHA
More Info
WA 0878 9698 8xxx
Max Properti",Jakarta Timur,Lainnya,https://www.rumah123.com/properti/jakarta-timur/hor18818900/,2,Bagus,Rp 48 Juta per tahun,69 m²,Disewakan Rumah 2Lt 6x15 Type 2+1Kt Cluster Yarra Jgc,1,2
2,200 m²,,Lainnya,Golf Island,"Golf Island, Jakarta Utara","Disewakan

Rmh di Golf island(Chopin)
Pantai indah kapuk, Jakarta Utara

Lt 8x25
3lt
Kmr tdr 3+1
Full Furnished

Harga 700jt/thn",Jakarta Utara,HGB,https://www.rumah123.com/properti/jakarta-utara/hor19483214/,3,Bagus,Rp 700 Juta/tahun,300 m²,Rumah Golf Island Pik 1 Jakarta Utara Full Furnished Mewah,2,2
4,325 m²,,Lainnya,Pantai Indah Kapuk,"Pantai Indah Kapuk, Jakarta Utara","DISEWA

Rumah Camar Elok Indomobil PIK
Luas 325 m2
Hoek
Hadap Selatan Timur
Kamar Tidur 5
2 Lantai

Price - 160 juta / tahun

Theo (AVE PRO) - 081283556xxx",Jakarta Utara,Lainnya,https://www.rumah123.com/properti/jakarta-utara/hor18652659/,5,Baru,Rp 160 Juta per tahun,600 m²,Disewa Rumah Camar Elok Indomobil Pik Hoek Luas 325 M2,,2
4,144 m²,,3300 Watt,BSD Delatinos,"BSD Delatinos, Tangerang","Rumah siap Huni 
SHM 
Hadap Selatan 
Super Mewah Lantai Full Granite Terbaru Mirip Rumah Sinar Mas Terbaru Hanya Sudah Siap Huni. Tidak Perlu Tunggu 2Tahun Sudah Jadi. 
Cat Depan sd Belakang Dulux Weatershield.  Ada Balkon dan Sirkulasi 2 Arah lancar. 
Sudah diberi 3 kali pelapis anti bocor dan anti lembab. 
Rangka atap Baja Ringan double material tiap 50cm. 

2 Carport bisa muat 3 mobil. 
Depan sudah Full Granite dan Ditinggikan. Ruang Tamu, Ruang Keluarga,Ruang Makan, Jemuran, 

Kitchen Set dan Dapur Baru, Kompor Baru , 
3 AC Baru , 
2 Waterheater Baru,
Taman di depan dan belakang. Semuanya lengkap.

Lokasi Dekat : 
Pasar Modern 1 dan 2,  
Akses Toll Ke Jakarta Dll  
hanya 150m ,AEON Mall, 

Akses Kereta Api hanya 100m jalan kaki, 
Univ Atma Jaya, Univ Prasetya Mulya, Sekolah : St John Catholic School  BSD, Stella Maris, St Ursula BSD, Cikal, Binus,  Rumah Sakit Eka Hospital,  RS Hermina, Betsaida, St Carolus, RS Siloam Karawaci, RS EMC Alam Sutra, 

Dekat Tol 3 Jalur Bisa Bintaro, Bogor, Jakarta. 
2 menit ke Indomaret dan Pujasera jalan kaki.

Keluar Perumahan langsung Jalan Raya Provinsi Angkutan Umum Tepat Di Depan Perumahan Persis, Jogging Track Sepanjang  Cluster dan juga Perumahan,  

Dikelilingi 3 Akses Tol Terdekat Dan 3 Akses Tol Terdekat Kedua lainnya jadi Total 6 Akses Tol. 

SHM Sertifikat di Tangan Pemilik Langsung Tidak Dijaminkan ke Bank. Pemilik Langsung",Tangerang,SHM,https://www.rumah123.com/properti/tangerang/hor18376413/,5,Sudah Renovasi,Rp 175 Juta per tahun,260 m²,Rumah Sewa Semi Furnished Yang Baru Renov,2,2
