url,title,price_in_rp,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description
https://www.rumah123.com/properti/jakarta-barat/hos10865747/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Axel Super Mewah Termurah Dekat Danau Super Mewah Fully Renov Fully Furnished Green Lake 10x18 2 Lantai,5400000000.0,Sentul City,Jakarta Barat,4.0,3.0,180.0,250.0,SHM,0.0,Baru,2.0,AC
https://www.rumah123.com/properti/jakarta-barat/hos10864900/#qid~d170ce10-a300-4504-babc-a13c26075f72,Axel Jamin Termurah Se Planet Dp Sebelum Diambil Yang Lain Green Lake City Australia 8x15 2 Lantai SHM,2900000000.0,Bekasi Utara,Jakarta Barat,3.0,3.0,120.0,120.0,SHM,4400.0,0,2.0,Keamanan
https://www.rumah123.com/properti/jakarta-barat/hos10865747/#qid~d170ce10-a300-4504-babc-a13c26075f72,Axel Super Mewah Termurah Dekat Danau Super Mewah Fully Renov Fully Furnished Green Lake 10x18 2 Lantai,5400000000.0,Kota Wisata,Jakarta Barat,4.0,3.0,180.0,250.0,SHM,0.0,Baru,2.0,AC
https://www.rumah123.com/properti/jakarta-barat/hos10631166/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,Rumah Green Lake City 8x16,3200000000.0,Sentul,Jakarta Barat,3.0,4.0,128.0,156.0,SHM,4400.0,Baru,2.0," Kolam Renang, Taman, AC,  Jalur Telepon"
https://www.rumah123.com/properti/jakarta-barat/hos10935521/#qid~10bfcda7-c73d-4bf5-837d-742d2b6a808f,"Rumah Bagus Furnished 2 Lantai, Shm, di Green Lake City",2200000000.0,Bogor Barat,Jakarta Barat,3.0,2.0,90.0,100.0,SHM,4400.0,Baru,2.0," Kolam Renang, Taman,  Jalur Telepon, AC,  Keamanan,  Jogging Track"
https://www.rumah123.com/properti/jakarta-barat/hos11332642/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rumah Mewah Full Renov Green Lake City 200m2,5000000000.0,Beji,Jakarta Barat,4.0,3.0,200.0,400.0,SHM,7700.0,Bagus,2.0," Kolam Renang,  Pemanas Air,  Taman,  Kitchen Set, Jalur Telepon,  Jogging Track,  Mesin Cuci,  CCTV, Track Lari,  Jalur Telepon, Kulkas,  AC, Wastafel,  Ac, CCTV, Tempat Jemuran, Keamanan, Lapangan Basket"
https://www.rumah123.com/properti/jakarta-barat/hos11249282/#qid~0b35c22f-9d89-44ed-8cba-578f8ff0cdf0,Axel Termurah Terlangka Jarang Ada Glc West Europe 6x15 Semi Furnish,2400000000.0,Bekasi,Jakarta Barat,3.0,3.0,90.0,120.0,SHM,4400.0,Bagus,2.0,"Keamanan 24 jam,  Kolam Renang, Taman,  Playground,  One Gate System"
https://www.rumah123.com/properti/jakarta-barat/hos11173583/#qid~e5b0d674-ed69-402a-b7ef-9b814eea96bf,Rumah Green Lake City Full Bangunan,3000000000.0,Bekasi Utara,Jakarta Barat,3.0,3.0,108.0,156.0,SHM,4400.0,Bagus,2.0,"Keamanan 24 jam, Jalur Telepon, Kolam Renang,  Playground,  One Gate System, Tempat Jemuran"
https://www.rumah123.com/properti/jakarta-barat/hos11084104/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rumah Riviera Puri Brand New 8X18 - Phase 1 - Selatan,4300000000.0,Kota Wisata,Jakarta Barat,3.0,3.0,144.0,200.0,SHM,4400.0,Baru,2.0,"Taman, Kolam Renang,  Jogging Track,  Keamanan"
https://www.rumah123.com/properti/jakarta-barat/hos11096190/#qid~edb6f11f-458c-42fb-99e8-d33808edc921,Rumah Green Lake City West Europe 6x15 - Full Renov,2700000000.0,Beji,Jakarta Barat,2.0,3.0,90.0,120.0,SHM,4400.0,Baru,2.0," Kolam Renang, Taman,  Jalur Telepon,  Keamanan,  Ac, CCTV,  Jogging Track"
https://www.rumah123.com/properti/jakarta-barat/hos11249084/#qid~e32c9ddd-06d7-4b93-8767-2f23284b5d4b,"Rumah Green Lake City, Cluster West Europe Uk 6x15, Shm,",2400000000.0,Permata Buana,Jakarta Barat,3.0,3.0,90.0,110.0,SHM,4400.0,Bagus,2.0,"Keamanan 24 jam,  Kolam Renang, Akses Parkir,  Taman, Kitchen Set,  AC,  Playground, Tempat Gym,  One Gate System, Wastafel"
